ph_url,ph_name,dup_test_col1,dup_test_col2
http://dbpedia.org/resource/Muhammad_al-Shaybani__Muḥammad_ibn_al-Ḥasan_al-Shaybānī__1,Muhammad_al-Shaybani__Muḥammad_ibn_al-Ḥasan_al-Shaybānī__1,Muhammad_a,Muhammad_al-Shaybani
http://dbpedia.org/resource/Muhammad_ibn_Munkadir,Muhammad_ibn_Munkadir,Muhammad_i,Muhammad_ibn
http://dbpedia.org/resource/Muhammad_ibn_Zakariya_al-Razi,Muhammad_ibn_Zakariya_al-Razi,Muhammad_i,Muhammad_ibn
http://dbpedia.org/resource/Muhammad_ibn_al-Habib,Muhammad_ibn_al-Habib,Muhammad_i,Muhammad_ibn
http://dbpedia.org/resource/Peter_Boghossian,Peter_Boghossian,Peter_Bogh,Peter_Boghossian
http://dbpedia.org/resource/Peter_Boghossian__Peter_Boghossian__1,Peter_Boghossian__Peter_Boghossian__1,Peter_Bogh,Peter_Boghossian
http://dbpedia.org/resource/Philippe_Lacoue-Labarthe,Philippe_Lacoue-Labarthe,Philippe_L,Philippe_Lacoue-Labarthe
http://dbpedia.org/resource/Philippe_Lacoue-Labarthe__Philippe_Lacoue-Labarthe__1,Philippe_Lacoue-Labarthe__Philippe_Lacoue-Labarthe__1,Philippe_L,Philippe_Lacoue-Labarthe
http://dbpedia.org/resource/Richard_J._Bernstein,Richard_J._Bernstein,Richard_J.,Richard_J.
http://dbpedia.org/resource/Richard_J._Blackwell,Richard_J._Blackwell,Richard_J.,Richard_J.
http://dbpedia.org/resource/Robert_D._Kaplan,Robert_D._Kaplan,Robert_D._,Robert_D.
http://dbpedia.org/resource/Robert_D._Putnam,Robert_D._Putnam,Robert_D._,Robert_D.
http://dbpedia.org/resource/Robert_J._C._Young,Robert_J._C._Young,Robert_J._,Robert_J.
http://dbpedia.org/resource/Robert_J._Gay,Robert_J._Gay,Robert_J._,Robert_J.
http://dbpedia.org/resource/Robert_J._Marks_II,Robert_J._Marks_II,Robert_J._,Robert_J.
"http://dbpedia.org/resource/Sir_William_Hamilton,_9th_Baronet","Sir_William_Hamilton,_9th_Baronet",Sir_Willia,Sir_William
"http://dbpedia.org/resource/Sir_William_Hamilton,_9th_Baronet__William_Hamilton__1","Sir_William_Hamilton,_9th_Baronet__William_Hamilton__1",Sir_Willia,Sir_William
http://dbpedia.org/resource/Thubten_Zopa_Rinpoche,Thubten_Zopa_Rinpoche,Thubten_Zo,Thubten_Zopa
http://dbpedia.org/resource/Thubten_Zopa_Rinpoche__Thubten_Zopa_Rinpoche__1,Thubten_Zopa_Rinpoche__Thubten_Zopa_Rinpoche__1,Thubten_Zo,Thubten_Zopa
http://dbpedia.org/resource/William_E._Blackstone,William_E._Blackstone,William_E.,William_E.
http://dbpedia.org/resource/William_E._Connolly,William_E._Connolly,William_E.,William_E.
http://dbpedia.org/resource/Zeno_of_Citium,Zeno_of_Citium,Zeno_of_Ci,Zeno_of
http://dbpedia.org/resource/Zeno_of_Citium__Zeno_of_Citium__1,Zeno_of_Citium__Zeno_of_Citium__1,Zeno_of_Ci,Zeno_of
http://dbpedia.org/resource/Zeno_of_Elea,Zeno_of_Elea,Zeno_of_El,Zeno_of
http://dbpedia.org/resource/Zeno_of_Elea__Zeno_of_Elea__1,Zeno_of_Elea__Zeno_of_Elea__1,Zeno_of_El,Zeno_of
http://dbpedia.org/resource/Zeno_of_Sidon,Zeno_of_Sidon,Zeno_of_Si,Zeno_of
