"Philosopher","Influenced"
"http://dbpedia.org/resource/Muhammad_Usman_Damani","http://dbpedia.org/resource/Sayyad_Laal_Shah_Hamdani"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Abdullah_Öcalan"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/David_Graeber"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/David_Harvey"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Rojava_conflict"
"http://dbpedia.org/resource/Murray_Bookchin","http://dbpedia.org/resource/Modibo_Kadalie"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Hannah_Arendt"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Susan_Buck-Morss"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Susan_Sontag"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Gershom_Scholem"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Catherine_Perret"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Jacques_Derrida"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Theodor_W._Adorno"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/David_Nirenberg"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Slavoj_Žižek"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Giorgio_Agamben"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Michael_Löwy"
"http://dbpedia.org/resource/Walter_Benjamin","http://dbpedia.org/resource/Michael_Taussig"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Alexander_Nehamas"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Richard_Schacht"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Frithjof_Bergmann"
"http://dbpedia.org/resource/Walter_Kaufmann_(philosopher)","http://dbpedia.org/resource/Ivan_Soll"
"http://dbpedia.org/resource/Walter_of_Bruges","http://dbpedia.org/resource/Henry_of_Ghent"
