"Philosopher","Influenced_By"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Gilbert_Simondon"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Maurizio_Cattelan"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Max_Stirner"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Michel_de_Montaigne"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Milton_Friedman"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/De_la_Mettrie"
"http://dbpedia.org/resource/Mookie_Tenembaum","http://dbpedia.org/resource/Wang-Chong"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Wilhelm_Wundt"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Ernst_Mach"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Ludwig_Wittgenstein"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Arthur_Schopenhauer"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Alois_Riehl"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Bertrand_Russell"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Moritz_Schlick","http://dbpedia.org/resource/Max_Planck"
"http://dbpedia.org/resource/Morris_Janowitz","http://dbpedia.org/resource/Harold_Lasswell"
"http://dbpedia.org/resource/Morris_Janowitz","http://dbpedia.org/resource/John_Dewey"
"http://dbpedia.org/resource/Morris_Janowitz","http://dbpedia.org/resource/Sidney_Hook"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","http://dbpedia.org/resource/Josiah_Royce"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","http://dbpedia.org/resource/William_James"
"http://dbpedia.org/resource/Morris_Raphael_Cohen","http://dbpedia.org/resource/Hugo_Münsterberg"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Henri_Bergson"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Louis_O._Kelso"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Plato"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Aristotle"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Nikolai_Berdyaev"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/John_Locke"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/John_Stuart_Mill"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/William_James"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Jacques_Maritain"
"http://dbpedia.org/resource/Mortimer_J._Adler","http://dbpedia.org/resource/Thomas_Aquinas"
"http://dbpedia.org/resource/Mostafa_Malekian","http://dbpedia.org/resource/Rumi"
