item,itemLabel,article
http://www.wikidata.org/entity/Q335112,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury","https://en.wikipedia.org/wiki/Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury"
http://www.wikidata.org/entity/Q223383,Mnesarchus of Athens,https://en.wikipedia.org/wiki/Mnesarchus_of_Athens
http://www.wikidata.org/entity/Q227022,Zou Yan,https://en.wikipedia.org/wiki/Zou_Yan
http://www.wikidata.org/entity/Q229646,G. E. M. Anscombe,https://en.wikipedia.org/wiki/G._E._M._Anscombe
http://www.wikidata.org/entity/Q347891,Nicolas Chamfort,https://en.wikipedia.org/wiki/Nicolas_Chamfort
http://www.wikidata.org/entity/Q347893,Uriel da Costa,https://en.wikipedia.org/wiki/Uriel_da_Costa
http://www.wikidata.org/entity/Q348099,Kenneth White,https://en.wikipedia.org/wiki/Kenneth_White
http://www.wikidata.org/entity/Q154751,Nicholas of Cusa,https://en.wikipedia.org/wiki/Nicholas_of_Cusa
http://www.wikidata.org/entity/Q75784,Ferdinand Lassall,https://en.wikipedia.org/wiki/Ferdinand_Lassalle
http://www.wikidata.org/entity/Q75812,Norbert Elias,https://en.wikipedia.org/wiki/Norbert_Elias
http://www.wikidata.org/entity/Q335142,Alexander Bogdanov,https://en.wikipedia.org/wiki/Alexander_Bogdanov
http://www.wikidata.org/entity/Q335161,Bhartṛhari,https://en.wikipedia.org/wiki/Bhart%E1%B9%9Bhari
http://www.wikidata.org/entity/Q336054,Karen Swassjan,https://en.wikipedia.org/wiki/Karen_Swassjan
http://www.wikidata.org/entity/Q157318,Leszek Kołakowski,https://en.wikipedia.org/wiki/Leszek_Ko%C5%82akowski
http://www.wikidata.org/entity/Q158878,Carlos Castañeda,https://en.wikipedia.org/wiki/Carlos_Castaneda
http://www.wikidata.org/entity/Q451719,Damo,https://en.wikipedia.org/wiki/Damo_(philosopher)
http://www.wikidata.org/entity/Q452077,Menippus,https://en.wikipedia.org/wiki/Menippus
http://www.wikidata.org/entity/Q453365,Amalric of Bena,https://en.wikipedia.org/wiki/Amalric_of_Bena
http://www.wikidata.org/entity/Q453489,Maria Ossowska,https://en.wikipedia.org/wiki/Maria_Ossowska
http://www.wikidata.org/entity/Q454802,Ernesto Laclau,https://en.wikipedia.org/wiki/Ernesto_Laclau
http://www.wikidata.org/entity/Q76509,Karl Jaspers,https://en.wikipedia.org/wiki/Karl_Jaspers
http://www.wikidata.org/entity/Q382785,Corax of Syracuse,https://en.wikipedia.org/wiki/Corax_of_Syracuse
http://www.wikidata.org/entity/Q383027,Sushruta,https://en.wikipedia.org/wiki/Sushruta
http://www.wikidata.org/entity/Q384522,David Lewis,https://en.wikipedia.org/wiki/David_Lewis_(philosopher)
http://www.wikidata.org/entity/Q385213,Prohaeresius,https://en.wikipedia.org/wiki/Prohaeresius
http://www.wikidata.org/entity/Q329906,Jin Yuelin,https://en.wikipedia.org/wiki/Jin_Yuelin
http://www.wikidata.org/entity/Q330821,Abraham ibn Daud,https://en.wikipedia.org/wiki/Abraham_ibn_Daud
http://www.wikidata.org/entity/Q331322,Nicholas of Autrecourt,https://en.wikipedia.org/wiki/Nicholas_of_Autrecourt
http://www.wikidata.org/entity/Q331893,Nikolaj Frederik Severin Grundtvig,https://en.wikipedia.org/wiki/N._F._S._Grundtvig
http://www.wikidata.org/entity/Q245407,Richard David Bach,https://en.wikipedia.org/wiki/Richard_Bach
http://www.wikidata.org/entity/Q248578,Chrysanthius,https://en.wikipedia.org/wiki/Chrysanthius
http://www.wikidata.org/entity/Q248616,Apollodorus of Seleucia,https://en.wikipedia.org/wiki/Apollodorus_of_Seleucia
http://www.wikidata.org/entity/Q248624,Amelius,https://en.wikipedia.org/wiki/Amelius
http://www.wikidata.org/entity/Q76356,Hans-Georg Gadamer,https://en.wikipedia.org/wiki/Hans-Georg_Gadamer
http://www.wikidata.org/entity/Q433940,Henry Jenkins,https://en.wikipedia.org/wiki/Henry_Jenkins
http://www.wikidata.org/entity/Q434203,Diogenes of Babylon,https://en.wikipedia.org/wiki/Diogenes_of_Babylon
http://www.wikidata.org/entity/Q434773,Crantor,https://en.wikipedia.org/wiki/Crantor
http://www.wikidata.org/entity/Q435699,Henry Thomas Buckle,https://en.wikipedia.org/wiki/Henry_Thomas_Buckle
http://www.wikidata.org/entity/Q463553,J. M. E. McTaggart,https://en.wikipedia.org/wiki/J._M._E._McTaggart
http://www.wikidata.org/entity/Q463723,Nikolai Fyodorovich Fyodorov,https://en.wikipedia.org/wiki/Nikolai_Fyodorovich_Fyodorov
http://www.wikidata.org/entity/Q465763,Salomon Maimon,https://en.wikipedia.org/wiki/Salomon_Maimon
http://www.wikidata.org/entity/Q465807,Quentin Skinner,https://en.wikipedia.org/wiki/Quentin_Skinner
http://www.wikidata.org/entity/Q76727,Ernst Jünger,https://en.wikipedia.org/wiki/Ernst_J%C3%BCnger
http://www.wikidata.org/entity/Q76725,Max Stirner,https://en.wikipedia.org/wiki/Max_Stirner
http://www.wikidata.org/entity/Q76522,Helmuth Plessner,https://en.wikipedia.org/wiki/Helmuth_Plessner
http://www.wikidata.org/entity/Q76583,Eugen Dühring,https://en.wikipedia.org/wiki/Eugen_D%C3%BChring
